Across Back,Across Bust,Across Chest,Armscye (Max),Around Shoulder,Bicep (Max),Body Area,Body Density,Body Fat %,Body Fat % (Asian),Body Mass Index (BMI),Body Volume,Bust,Bust Width,Bust-Hip Ratio,Bust-Waist Ratio,CB to Hip,CB to Waist,Chest,Customer Age,Customer Gender,Customer Height,Customer Weight,HPS Sleeve Length (Max),HPS To Bust Point (Max),HPS To Knee (Max),HPS to Hip (Max),HPS to Waist (Max),Head Area,Head Volume,High Hip,Hip,Inseam (Max),Knee (Max),Left Arm Area,Left Arm Volume,Left Leg Area,Left Leg Volume,Mid Neck Girth,Natural Waist,Neck,Outseam (Max),Outseam Left,Outseam Right,Outseam to Hip (Max),Outseam to Knee (Max),Pant Waist,Pant Waist Height,Right Arm Area,Right Arm Volume,Right Leg Area,Right Leg Volume,Rise Back,Rise Back (Min Z),Rise Front,Rise Front (Min Z),Rise Total,Rise Total (Min Z),Short Sleeve Length Left,Short Sleeve Length Right,Shoulder Back,Shoulder Front,Sleeve Length Back Neck (Max),Sleeve Length HPS (Max),Sleeve Length Left,Sleeve Length Right,Sleeve Length Shoulder (Max),Thigh (Max),Thigh (Max) (Inflection),Torso Area,Torso Volume,Under Bust,Waist (Natural),Waist-Hip Ratio (WHO),Weight,Weight (Fat),Weight (Non-Fat),Wrist (Max)
12.295,15.002,11.657,21.388,36.777,12.441,2298.7,0.026876,31.2,5.5,20,3937,36.889,9.168,0.916,1.082,20.108,14.621,,34,Female,61,106,23.582,11.315,38.42,23.351,17.816,276.6,344,38.158,40.25,26.816,15.609,206.7,169,417.4,638,16.191,,,,34.716,34.797,4.377,18.624,36.121,34.473,184.9,144,416.6,645,11.997,13.696,12.174,14.063,24.171,27.759,14.598,12.849,12.435,14.049,,,20.794,20.323,,25.095,24.069,796.6,1637,32.828,34.169,0.826,,,,8.301
16.19,17.83,10.91,18.4,39.09,10.34,,0.025456,47.7,,25,,40.67,8.48,,,22.95,13.84,,41,Female,61,132,24.86,11.66,42.19,24.68,15.9,,,44.43,47.52,19.9,14.32,,,,,14.8,,,,35.79,35.61,7.29,24.62,40.17,35.12,,,,,26.17,26.66,18.92,20.71,45.08,47.38,11.98,13.29,16.61,14.8,,,19.43,20.38,,34.92,22.42,,,36.33,37.65,,132,63,69,8.7
12.97,,,14.65,,10.81,,0.032332,24,,18.4,,,,0.893,1.003,19.9,13.45,31.95,32,Female,60,95,,8.27,,22.27,16.01,,,34.17,35.78,20.38,,,,,,,28.84,11.64,35.41,,,,,29.47,34.86,,,,,18.75,,17.67,,36.42,,,,14.02,,26.89,25,,,20.09,25.97,,,,31.02,,0.795,95,23,72,
17.27,13.74,13.79,23.69,43.83,15.31,,0.02612,31.4,,22.9,,40.91,6.88,,,26.31,16.99,,45,Male,69,154,28.75,12.7,48.04,29.2,19.94,,,40.7,44.22,28.08,20.58,,,,,17.52,,,,38.01,38.15,7.43,25.45,39.44,37.61,,,,,16.23,17.96,13.23,14.85,29.45,32.81,14.43,14.73,18.13,15.61,,,20.79,23.22,,28.93,28.7,,,40.22,39.29,,154,48,106,9.72
14.33,16.17,13.53,18.39,37.06,12.31,,0.035083,35.3,,23.8,,38.06,10.95,,,21.76,15.18,,40,Female,63,134,23.37,11.67,42.68,25.35,18.95,,,39.33,39.29,26.63,15.4,,,,,12.81,,,,34.53,34.51,6.55,22.53,36.33,33.99,,,,,12.87,13.71,11.81,12.96,24.68,26.66,11.47,11.53,14.79,13.78,,,18.35,18.43,,22.5,23.43,,,37.44,35.48,,134,48,86,7.32
13.63,18.01,13.15,21.28,38.89,12.65,,0.027277,42.1,,25.4,,43.52,6.67,,,23.27,16.34,,23,Female,63,143,26.19,11.72,43.04,25.14,18.09,,,45.82,45.6,22.26,14.95,,,,,15.13,,,,38.09,37.97,6.6,22.46,39.11,37.29,,,,,23.05,23.36,19.37,19.35,42.42,42.72,13.67,14.32,15.54,15.29,,,20.42,22.27,,35.07,21.45,,,39.53,37.65,,143,60,83,8.51
15.25,15.64,12.81,15.57,34.8,11.66,,0.031649,28.2,,19.5,,33.41,5.66,,,23.18,13.98,,30,Female,63,110,27.26,10.9,39.82,24.94,15.77,,,34.84,37.28,25.4,12.42,,,,,13.23,,,,37.82,37.61,7.6,20.16,32.06,37.42,,,,,18.86,21.55,14.94,18.54,33.8,40.08,14.47,13.46,14.03,13.98,,,23.44,24.05,,27.68,24.91,,,30.43,28.53,,110,31,79,7.7
14.83,12.77,10.23,18.5,29.84,13.87,,0.03393,26.5,,17.7,,32.63,6.26,,,21.54,14.75,,36,Female,63,101,25.8,9.78,38.98,21.36,14.98,,,33.34,36.19,28.92,13.92,,,,,11.3,,,,34.68,34.62,1.63,18.1,35.01,34.4,,,,,10,9.98,8.39,8.38,18.39,18.37,14,13.53,12.27,12.73,,,21.26,20.42,,20.55,19.49,,,31.69,30.02,,101,27,74,6.51
11.8,,,13.87,,10.99,,0.037966,22.9,,20.5,,,,0.871,1.011,19.07,12.99,31.19,30,Female,61,110,,7.5,,21.56,15.39,,,32.49,35.8,21.38,,,,,,,27.47,11.69,34.92,,,,,28.83,34.34,,,,,18.11,,16.1,,34.21,,,,11.82,,24.97,23.02,,,18.86,25.62,,,,30.01,,0.763,110,25,85,
11.55,13.76,10.6,15.32,31.11,10.47,,0.03587,23,,18.3,,31.75,7.31,,,22.09,14.9,,41,Female,62,99,23.6,10.84,36.27,24.2,17.04,,,33.28,35.16,24.29,10.96,,,,,11.74,,,,33.03,33.21,6.59,17.79,28.96,32.66,,,,,11.73,16.21,13.24,16.74,24.97,32.95,11.99,12.64,11.26,12.1,,,15.65,15.6,,23.37,23.22,,,28.88,28.04,,99,23,76,7.35
13.36,13.16,12.44,16.66,35.62,11.56,,0.031394,27.7,,18,,33.1,10.09,,,22.02,15.03,,45,Female,62,99,23.4,10.69,38.64,23.69,17.16,,,34.5,37.83,28.64,14.4,,,,,11.36,,,,36.43,36.35,6.48,20.51,30.36,35.95,,,,,13.05,13.52,11.59,12.56,24.64,26.08,12.44,11.78,14.08,13.7,,,19.85,18.3,,21.15,24.2,,,29.27,28.73,,99,27,72,7
16.67,15.55,14.66,20.96,42.68,13.96,,0.028554,50.8,,26.2,,42.12,5.13,,,22.17,15,,40,Female,63,148,25.79,12.44,41.12,24.32,17.3,,,47.54,49.42,25.67,17.51,,,,,13.6,,,,35.98,36.13,6.39,21.54,42.94,35.53,,,,,14.17,15.77,15.42,16.8,29.58,32.56,8.05,9.12,14.33,15.25,,,19.34,19.11,,27.37,27.49,,,42.12,40.54,,148,75,73,7.75
12.95,15.04,12.58,15.39,34.16,10.95,,0.032832,24.9,,17.9,,32.94,5.55,,,20.7,13.89,,34,Female,61,95,24.5,10.72,36.8,24.22,17.04,,,34.01,35.15,29.31,12.07,,,,,12.13,,,,35.18,35.2,6.12,18.15,30.39,34.88,,,,,10.92,15.65,10.58,16.19,21.5,31.83,12.42,13.39,13.1,13.52,,,15.39,14.34,,23.04,25.67,,,30.29,29.44,,95,24,71,8.13
14.72,15.72,15.26,20.31,42.14,14.46,,0.031399,28.4,,22.3,,41.11,6.94,,,25.66,17.25,,23,Male,70,154,28.42,11.87,48.11,27.84,19.86,,,39.77,41.59,29.31,15.08,,,,,16.77,,,,36.6,36.49,4.18,22.99,38.72,36.39,,,,,10.92,11.71,12.43,13.03,23.35,24.74,13.71,14.49,18.07,16.62,,,22.45,22.67,,23.95,23.49,,,41.11,37.96,,154,44,110,9.03
